"table_name","total_records"
"base_application_codeset","3581267"
"base_organisation_unit","5671746"
"biometric","29243354"
"case_manager","7558"
"case_manager_patients","1723861"
"dsd_devolvement","542686"
"hiv_art_clinical","19976846"
"hiv_art_pharmacy","23189299"
"hiv_art_pharmacy_regimens","129484556"
"hiv_drug","43424"
"hiv_eac","216830"
"hiv_eac_out_come","87754"
"hiv_eac_session","185128"
"hiv_enrollment","2205233"
"hiv_observation","3321304"
"hiv_patient_tracker","273023"
"hiv_regimen","426791"
"hiv_regimen_drug","833619"
"hiv_regimen_resolver","216814"
"hiv_regimen_type","39048"
"hiv_status_tracker","39461607"
"hts_client","6226877"
"hts_index_elicitation","96787"
"hts_risk_stratification","7305331"
"laboratory_labtest","103040"
"laboratory_labtestgroup","10385"
"laboratory_number","17"
"laboratory_order","4327513"
"laboratory_result","7800152"
"laboratory_sample","7107793"
"laboratory_sample_type","16209"
"laboratory_sampletype_labtest_link","24752"
"laboratory_test","7118493"
"mhpss_confirmation","0"
"mhpss_screening","24"
"patient_encounter","4463173"
"patient_person","9331496"
"patient_visit","33290416"
"pmtct_anc","17431"
"pmtct_delivery","104"
"pmtct_enrollment","662"
"pmtct_infant_arv","59"
"pmtct_infant_information","42"
"pmtct_infant_pcr","59"
"pmtct_infant_visit","14"
"pmtct_mother_visitation","388"
"prep_clinic","1770413"
"prep_eligibility","45853"
"prep_enrollment","150637"
"prep_interruption","1441"
"prep_regimen","4375"
"triage_vital_sign","20683962"
