"table_name","column_name","data_type"
"expanded_hts_weekly","period","text"
"expanded_hts_weekly","clientcode","character varying"
"expanded_hts_weekly","datim_id","character varying"
"expanded_hts_weekly","firstname","text"
"expanded_hts_weekly","surname","text"
"expanded_hts_weekly","othername","text"
"expanded_hts_weekly","sex","text"
"expanded_hts_weekly","age","integer"
"expanded_hts_weekly","dateofbirth","date"
"expanded_hts_weekly","phonenumber","text"
"expanded_hts_weekly","maritalstatus","text"
"expanded_hts_weekly","lgaofresidence","character varying"
"expanded_hts_weekly","stateofresidence","text"
"expanded_hts_weekly","facility","character varying"
"expanded_hts_weekly","state","character varying"
"expanded_hts_weekly","lga","character varying"
"expanded_hts_weekly","patientid","character varying"
"expanded_hts_weekly","education","text"
"expanded_hts_weekly","occupation","text"
"expanded_hts_weekly","datimcode","character varying"
"expanded_hts_weekly","htslatitude","text"
"expanded_hts_weekly","htslongitude","text"
"expanded_hts_weekly","clientaddress","text"
"expanded_hts_weekly","datevisit","date"
"expanded_hts_weekly","firsttimevisit","text"
"expanded_hts_weekly","numberofchildren","integer"
"expanded_hts_weekly","numberofwives","integer"
"expanded_hts_weekly","indexclient","text"
"expanded_hts_weekly","prepoffered","text"
"expanded_hts_weekly","prepaccepted","text"
"expanded_hts_weekly","previouslytested","text"
"expanded_hts_weekly","targetgroup","character varying"
"expanded_hts_weekly","referredfrom","character varying"
"expanded_hts_weekly","testingsetting","character varying"
"expanded_hts_weekly","counselingtype","character varying"
"expanded_hts_weekly","pregnancystatus","character varying"
"expanded_hts_weekly","breastfeeding","text"
"expanded_hts_weekly","indextype","character varying"
"expanded_hts_weekly","ifrecencytestingoptin","text"
"expanded_hts_weekly","recencyid","text"
"expanded_hts_weekly","recencytesttype","text"
"expanded_hts_weekly","recencytestdate","date"
"expanded_hts_weekly","viralloadreceivedresultdate","date"
"expanded_hts_weekly","recencyinterpretation","text"
"expanded_hts_weekly","finalrecencyresult","text"
"expanded_hts_weekly","viralloadresult","text"
"expanded_hts_weekly","viralloadsamplecollectiondate","date"
"expanded_hts_weekly","viralloadconfirmationresult","text"
"expanded_hts_weekly","viralloadconfirmationdate","date"
"expanded_hts_weekly","assessmentcode","character varying"
"expanded_hts_weekly","modality","character varying"
"expanded_hts_weekly","syphilistestresult","text"
"expanded_hts_weekly","hepatitisbtestresult","text"
"expanded_hts_weekly","hepatitisctestresult","text"
"expanded_hts_weekly","cd4type","text"
"expanded_hts_weekly","cd4testresult","text"
"expanded_hts_weekly","finalhivtestresult","text"
"expanded_hts_weekly","dateofhivtesting","date"
"expanded_hts_weekly","numberofcondomsgiven","character varying"
"expanded_hts_weekly","numberoflubricantsgiven","character varying"
"expanded_hts_weekly","period_start_date","date"
"expanded_hts_weekly","period_end_date","date"
