"table_name","column_name","data_type"
"expanded_prep_weekly","period","text"
"expanded_prep_weekly","personuuid","character varying"
"expanded_prep_weekly","id","bigint"
"expanded_prep_weekly","uuid","character varying"
"expanded_prep_weekly","hospitalnumber","character varying"
"expanded_prep_weekly","surname","text"
"expanded_prep_weekly","firstname","text"
"expanded_prep_weekly","hivenrollmentdate","date"
"expanded_prep_weekly","age","numeric"
"expanded_prep_weekly","othername","character varying"
"expanded_prep_weekly","sex","character varying"
"expanded_prep_weekly","dateofbirth","date"
"expanded_prep_weekly","dateofregistration","date"
"expanded_prep_weekly","maritalstatus","text"
"expanded_prep_weekly","education","text"
"expanded_prep_weekly","occupation","text"
"expanded_prep_weekly","facilityname","character varying"
"expanded_prep_weekly","lga","character varying"
"expanded_prep_weekly","state","character varying"
"expanded_prep_weekly","datimid","character varying"
"expanded_prep_weekly","residentialstate","character varying"
"expanded_prep_weekly","residentiallga","character varying"
"expanded_prep_weekly","phone","text"
"expanded_prep_weekly","address","text"
"expanded_prep_weekly","baselineregimen","character varying"
"expanded_prep_weekly","preptype","character varying"
"expanded_prep_weekly","prepdistributionsetting","character varying"
"expanded_prep_weekly","baselinesystolicbp","double precision"
"expanded_prep_weekly","baselinediastolicbp","double precision"
"expanded_prep_weekly","baselineweight","double precision"
"expanded_prep_weekly","baselineheight","double precision"
"expanded_prep_weekly","targetgroup","character varying"
"expanded_prep_weekly","prepcommencementdate","date"
"expanded_prep_weekly","baselineurinalysis","text"
"expanded_prep_weekly","baselineurinalysisdate","date"
"expanded_prep_weekly","baselinecreatinine","text"
"expanded_prep_weekly","baselinecreatininetestdate","date"
"expanded_prep_weekly","baselinealt","text"
"expanded_prep_weekly","baselinehbsag","text"
"expanded_prep_weekly","baselinehbpcv","text"
"expanded_prep_weekly","baselinewbc","text"
"expanded_prep_weekly","currentalt","text"
"expanded_prep_weekly","currentaltdate","date"
"expanded_prep_weekly","currenthbsag","text"
"expanded_prep_weekly","currenthbsagdate","date"
"expanded_prep_weekly","currenthbpcv","text"
"expanded_prep_weekly","currenthbpcvdate","date"
"expanded_prep_weekly","currentwbc","text"
"expanded_prep_weekly","currentwbcdate","date"
"expanded_prep_weekly","baselinehepatitisb","text"
"expanded_prep_weekly","baselinehepatitisc","text"
"expanded_prep_weekly","interruptiontype","character varying"
"expanded_prep_weekly","interruptionreason","character varying"
"expanded_prep_weekly","interruptiondate","date"
"expanded_prep_weekly","hivstatusatprepinitiation","text"
"expanded_prep_weekly","indicationforprep","text"
"expanded_prep_weekly","currentregimen","character varying"
"expanded_prep_weekly","currentduration","integer"
"expanded_prep_weekly","currentpreptype","character varying"
"expanded_prep_weekly","currentprepdistributionsetting","character varying"
"expanded_prep_weekly","dateoflastpickup","date"
"expanded_prep_weekly","currentsystolicbp","double precision"
"expanded_prep_weekly","currentdiastolicbp","double precision"
"expanded_prep_weekly","currentweight","double precision"
"expanded_prep_weekly","currentheight","double precision"
"expanded_prep_weekly","currenturinalysis","text"
"expanded_prep_weekly","familyplanning","character varying"
"expanded_prep_weekly","dateoffamilyplanning","date"
"expanded_prep_weekly","currenturinalysisdate","date"
"expanded_prep_weekly","currenthivstatus","text"
"expanded_prep_weekly","dateofcurrenthivstatus","date"
"expanded_prep_weekly","pregnancystatus","character varying"
"expanded_prep_weekly","currentstatus","character varying"
"expanded_prep_weekly","dateofcurrentstatus","date"
"expanded_prep_weekly","period_start_date","date"
"expanded_prep_weekly","period_end_date","date"
