"table_name","column_name","data_type"
"expanded_radet_weekly","period","text"
"expanded_radet_weekly","uniquepersonuuid","character varying"
"expanded_radet_weekly","datim_id","character varying"
"expanded_radet_weekly","hospitalnumber","character varying"
"expanded_radet_weekly","uniqueid","character varying"
"expanded_radet_weekly","age","numeric"
"expanded_radet_weekly","gender","text"
"expanded_radet_weekly","dateofbirth","date"
"expanded_radet_weekly","facilityname","character varying"
"expanded_radet_weekly","lga","character varying"
"expanded_radet_weekly","state","character varying"
"expanded_radet_weekly","datimid","character varying"
"expanded_radet_weekly","targetgroup","character varying"
"expanded_radet_weekly","enrollmentsetting","character varying"
"expanded_radet_weekly","artstartdate","date"
"expanded_radet_weekly","regimenatstart","character varying"
"expanded_radet_weekly","dateofregistration","date"
"expanded_radet_weekly","dateofenrollment","date"
"expanded_radet_weekly","ovcuniqueid","character varying"
"expanded_radet_weekly","householduniqueno","character varying"
"expanded_radet_weekly","careentry","character varying"
"expanded_radet_weekly","regimenlineatstart","character varying"
"expanded_radet_weekly","ndrpatientidentifier","text"
"expanded_radet_weekly","dateofviralloadsamplecollection","date"
"expanded_radet_weekly","dateofcurrentviralloadsample","date"
"expanded_radet_weekly","vlfacility","integer"
"expanded_radet_weekly","vlarchived","integer"
"expanded_radet_weekly","viralloadindication","character varying"
"expanded_radet_weekly","currentviralload","character varying"
"expanded_radet_weekly","dateofcurrentviralload","date"
"expanded_radet_weekly","dsdmodel","character varying"
"expanded_radet_weekly","dateofstartofcurrentartregimen","date"
"expanded_radet_weekly","lastpickupdate","date"
"expanded_radet_weekly","currentartregimen","character varying"
"expanded_radet_weekly","currentregimenline","character varying"
"expanded_radet_weekly","nextpickupdate","date"
"expanded_radet_weekly","monthsofarvrefill","numeric"
"expanded_radet_weekly","datebiometricsenrolled","date"
"expanded_radet_weekly","numberoffingerscaptured","bigint"
"expanded_radet_weekly","dateofcommencementofeac","date"
"expanded_radet_weekly","numberofeacsessioncompleted","bigint"
"expanded_radet_weekly","dateoflasteacsessioncompleted","date"
"expanded_radet_weekly","dateofextendeaccompletion","date"
"expanded_radet_weekly","dateofrepeatviralloadresult","date"
"expanded_radet_weekly","repeatviralloadresult","character varying"
"expanded_radet_weekly","dateofiptstart","date"
"expanded_radet_weekly","iptcompletiondate","date"
"expanded_radet_weekly","iptcompletionstatus","text"
"expanded_radet_weekly","ipttype","character varying"
"expanded_radet_weekly","dateofcervicalcancerscreening","date"
"expanded_radet_weekly","treatmentmethoddate","date"
"expanded_radet_weekly","cervicalcancerscreeningtype","character varying"
"expanded_radet_weekly","cervicalcancerscreeningmethod","character varying"
"expanded_radet_weekly","cervicalcancertreatmentscreened","character varying"
"expanded_radet_weekly","resultofcervicalcancerscreening","character varying"
"expanded_radet_weekly","ovcnumber","character varying"
"expanded_radet_weekly","householdnumber","character varying"
"expanded_radet_weekly","tbtreatementtype","text"
"expanded_radet_weekly","tbtreatmentstartdate","date"
"expanded_radet_weekly","tbtreatmentoutcome","text"
"expanded_radet_weekly","tbcompletiondate","date"
"expanded_radet_weekly","tbtreatmentpersonuuid","character varying"
"expanded_radet_weekly","dateoftbsamplecollection","date"
"expanded_radet_weekly","persontbsample","character varying"
"expanded_radet_weekly","persontbresult","character varying"
"expanded_radet_weekly","dateoftbdiagnosticresultreceived","date"
"expanded_radet_weekly","date_result_reported","date"
"expanded_radet_weekly","tbdiagnosticresult","text"
"expanded_radet_weekly","tbdiagnostictesttype","text"
"expanded_radet_weekly","dateoftbscreened","date"
"expanded_radet_weekly","tbstatus","text"
"expanded_radet_weekly","dateoflasttblam","date"
"expanded_radet_weekly","tblamresult","character varying"
"expanded_radet_weekly","causeofdeath","character varying"
"expanded_radet_weekly","vacauseofdeath","character varying"
"expanded_radet_weekly","previousstatus","text"
"expanded_radet_weekly","previousstatusdate","date"
"expanded_radet_weekly","currentstatus","text"
"expanded_radet_weekly","currentstatusdate","date"
"expanded_radet_weekly","vleligibilitystatus","boolean"
"expanded_radet_weekly","dateofvleligibilitystatus","date"
"expanded_radet_weekly","lastcd4count","character varying"
"expanded_radet_weekly","dateoflastcd4count","date"
"expanded_radet_weekly","dateoflastcrytococalantigen","date"
"expanded_radet_weekly","lastcrytococalantigen","character varying"
"expanded_radet_weekly","casemanager","text"
"expanded_radet_weekly","clientverificationstatus","text"
"expanded_radet_weekly","currentweight","double precision"
"expanded_radet_weekly","pregnancystatus","character varying"
"expanded_radet_weekly","dateofcurrentartstatus","date"
"expanded_radet_weekly","clientverificationoutcome","text"
"expanded_radet_weekly","modeldevolvedto","character varying"
"expanded_radet_weekly","dateofdevolvement","date"
"expanded_radet_weekly","currentdsdmodel","character varying"
"expanded_radet_weekly","dateofcurrentdsd","date"
"expanded_radet_weekly","datereturntosite","date"
"expanded_radet_weekly","dateofrepeatviralloadeacsamplecollection","date"
"expanded_radet_weekly","tbscreeningtype","text"
"expanded_radet_weekly","tbstatusoutcome","text"
"expanded_radet_weekly","currentclinicalstage","character varying"
"expanded_radet_weekly","datebiometricsrecaptured","date"
"expanded_radet_weekly","numberoffingersrecaptured","bigint"
"expanded_radet_weekly","period_start_date","date"
"expanded_radet_weekly","period_end_date","date"
